T,o,h,l,c,v
1767009599999,87743,87749,87524,87527,1108.69144
1767013199999,87527,87588,86736,87336,3013.08701
1767016799999,87336,87515,87124,87352,1577.90745
1767020399999,87351,88185,87221,87411,3712.91063
1767023999999,87411,87938,87200,87667,2067.37314
1767027599999,87666,87819,87424,87609,457.40572
1767031199999,87609,87842,87318,87835,1323.51236
1767034799999,87833,88012,87341,87428,2652.62023
1767038399999,87429,87641,87284,87337,987.65844
1767041999999,87338,87595,87069,87215,2777.01011
1767045599999,87233,87378,87198,87337,610.18004
1767049199999,87337,87396,87069,87343,548.20874
1767052799999,87342,87400,87173,87228,288.94882
1767056399999,87227,87351,87081,87250,761.63193
1767059999999,87246,87346,87101,87298,525.08681
1767063599999,87298,87336,86955,87094,640.86522
1767067199999,87093,87418,86824,87356,1281.18573
1767070799999,87356,87480,87264,87287,543.86526
1767074399999,87287,87335,87125,87240,512.10009
1767077999999,87240,87527,87233,87433,385.90312
1767081599999,87433,87593,87370,87482,131.51366
1767085199999,87482,88200,87482,87849,992.60436
1767088799999,87850,88020,87640,87982,343.81026
1767092399999,87981,88174,87905,87940,486.61326
1767095999999,87940,88017,87742,87874,679.01492
1767099599999,87875,88069,87874,87999,236.08254
1767103199999,88000,88127,87888,88096,241.53129
1767106799999,88096,88988,87818,88845,2944.7372
1767110399999,88846,89141,88192,88973,1874.65731
1767113999999,88973,89376,88543,88721,1813.80795
1767117599999,88721,88857,88080,88338,1248.1833
1767121199999,88338,88470,88083,88273,614.69837
1767124799999,88272,88397,87924,88184,919.93427
1767128399999,88185,88185,87842,87894,883.12816
1767131999999,87895,88317,87864,88251,812.49194
1767135599999,88251,88456,88251,88412,507.00522
1767139199999,88412,88549,88339,88466,511.23672
1767142799999,88467,88467,88224,88239,487.05361
1767146399999,88239,88768,88155,88629,554.84215
1767149999999,88628,88727,88500,88644,295.90532
1767153599999,88645,88793,88344,88422,462.39305
1767157199999,88422,88519,88306,88307,360.12947
1767160799999,88308,88501,88308,88431,234.13762
1767164399999,88431,88535,88431,88486,125.19047
1767167999999,88487,88613,88400,88578,237.7681
1767171599999,88579,88712,88358,88404,282.6608
1767175199999,88404,88680,88402,88640,193.467
1767178799999,88641,88850,88630,88809,405.30146
1767182399999,88810,89000,88777,88985,323.24683
1767185999999,88982,89009,88712,88746,340.97894
1767189599999,88745,89025,88708,88957,388.87887
1767193199999,88957,89178,88250,88445,1469.31374
1767196799999,88444,88455,87747,87927,3218.39804
1767200399999,87926,88030,87366,87630,2262.15473
1767203999999,87631,87736,87456,87599,867.8537
