T,o,h,l,c,v
1785023399999,64378,64378,64377,64377,1.51684
1785023459999,64378,64378,64377,64377,1.33845
1785023519999,64378,64378,64377,64378,0.06473
1785023579999,64378,64378,64377,64378,1.12952
1785023639999,64378,64378,64355,64356,16.64305
1785023699999,64356,64356,64355,64356,0.3944
1785023759999,64356,64356,64355,64356,0.40033
1785023819999,64356,64356,64355,64356,1.42784
1785023879999,64356,64361,64355,64361,0.74696
1785023939999,64361,64361,64360,64361,0.04644
1785023999999,64361,64361,64360,64361,0.22813
1785024059999,64361,64361,64342,64347,36.37316
1785024119999,64348,64348,64339,64339,3.89591
1785024179999,64340,64356,64334,64356,1.03383
1785024239999,64356,64358,64355,64358,0.32101
1785024299999,64358,64361,64357,64360,0.23018
1785024359999,64361,64361,64360,64361,28.06733
1785024419999,64362,64393,64362,64392,1.13358
1785024479999,64393,64420,64393,64420,1.0552
1785024539999,64420,64420,64419,64420,2.89988
1785024599999,64420,64420,64405,64405,0.75476
1785024659999,64406,64406,64379,64379,1.03403
1785024719999,64380,64406,64380,64406,1.72083
1785024779999,64406,64406,64405,64406,2.67627
1785024839999,64406,64424,64405,64416,8.81493
1785024899999,64417,64417,64415,64416,2.06567
1785024959999,64416,64416,64410,64411,0.50919
1785025019999,64411,64411,64410,64410,0.46792
1785025079999,64411,64411,64409,64409,0.47725
1785025139999,64410,64410,64400,64400,7.10792
1785025199999,64401,64410,64401,64408,3.12699
1785025259999,64408,64410,64400,64410,0.80473
1785025319999,64411,64419,64410,64419,2.29372
1785025379999,64419,64437,64419,64435,5.05038
1785025439999,64436,64436,64428,64428,2.16968
1785025499999,64428,64441,64427,64441,2.34781
1785025559999,64441,64450,64440,64440,11.58526
1785025619999,64441,64441,64440,64441,0.93266
1785025679999,64441,64450,64440,64450,66.171
1785025739999,64450,64450,64449,64450,12.87242
1785025799999,64450,64450,64449,64450,1.74724
1785025859999,64450,64450,64427,64428,1.42324
1785025919999,64428,64432,64427,64432,0.94029
1785025979999,64432,64457,64431,64457,4.70718
1785026039999,64457,64457,64444,64444,4.17486
1785026099999,64445,64445,64435,64436,4.98564
1785026159999,64436,64436,64425,64426,2.43101
1785026219999,64426,64426,64425,64425,0.54526
1785026279999,64426,64430,64425,64430,5.24379
1785026339999,64430,64434,64429,64434,3.68349
1785026399999,64434,64434,64399,64400,4.05543
1785026459999,64400,64400,64391,64391,3.29135
1785026519999,64392,64392,64391,64392,0.14593
1785026579999,64392,64392,64391,64392,0.70444
1785026639999,64392,64392,64391,64391,1.15555
1785026699999,64392,64392,64391,64392,0.27577
1785026759999,64392,64392,64385,64386,0.47188
1785026819999,64386,64399,64385,64399,1.51222
1785026879999,64399,64403,64399,64402,0.44033
1785026939999,64403,64404,64402,64404,1.25359
1785026999999,64404,64411,64404,64405,0.55333
1785027059999,64405,64413,64400,64413,0.43787
1785027119999,64413,64424,64412,64424,0.53056
1785027179999,64424,64424,64423,64424,0.38365
1785027239999,64424,64456,64423,64456,5.68104
