T,o,h,l,c,v
1767009599999,2965,2966.5,2957.5,2958.8,11531.3059
1767013199999,2958.7,2958.7,2908.9,2929.2,78206.189
1767016799999,2929.3,2936.2,2918.6,2925.7,19632.1729
1767020399999,2925.7,2964.2,2915.5,2927.3,60300.8219
1767023999999,2927.3,2949,2918.7,2934.8,27835.1353
1767027599999,2934.8,2941.8,2924,2935.2,11311.229
1767031199999,2935.2,2942.6,2925.6,2942.6,14975.39
1767034799999,2942.7,2945.4,2912,2917.8,33184.9418
1767038399999,2918.3,2940,2917,2931,20692.0709
1767041999999,2931.1,2941.2,2925,2929,15321.5668
1767045599999,2928.8,2938.4,2928,2936.5,13372.5425
1767049199999,2936.2,2943,2929.8,2936.8,18746.1606
1767052799999,2936.8,2943,2931.2,2936.9,6220.4936
1767056399999,2936.8,2940.3,2930,2936.3,9040.6071
1767059999999,2936.4,2937.7,2923.8,2935.1,4415.58
1767063599999,2935.2,2938.1,2922.4,2926.7,6821.5137
1767067199999,2926.7,2954.9,2918.4,2951,53895.7158
1767070799999,2951,2958.9,2944.9,2944.9,6966.3874
1767074399999,2944.9,2947.3,2936.3,2940.8,6866.031
1767077999999,2940.8,2951.4,2939.6,2945.1,8873.2191
1767081599999,2945.1,2954.8,2944.8,2950.2,3323.8214
1767085199999,2950.3,3003.1,2949.8,2976.9,27066.0302
1767088799999,2977,2987.7,2970.5,2984.9,5551.9732
1767092399999,2984.9,2987.2,2973.4,2976.3,6606.4772
1767095999999,2976.4,2983.6,2973.3,2977.6,5228.9555
1767099599999,2977.6,2985.6,2976.4,2980,4557.4492
1767103199999,2980,2990.9,2978.7,2985.9,8359.9516
1767106799999,2986,3008.5,2958.8,2995.6,36890.8519
1767110399999,2995.5,3001.3,2969.4,2988.1,43533.7846
1767113999999,2988.3,2993.5,2974,2981.7,7033.8757
1767117599999,2981.6,2985.5,2962.9,2975.9,20093.8097
1767121199999,2975.9,2977.9,2959.3,2970.7,40851.0045
1767124799999,2970.7,2973.7,2944.2,2971.1,12436.4227
1767128399999,2971.1,2972.5,2955.3,2957.4,3818.9992
1767131999999,2957.3,2969.4,2953.8,2967.7,8984.9757
1767135599999,2967.7,2971.1,2964.7,2968.7,8999.1
1767139199999,2968.6,2974.3,2966.7,2973.1,4797.1053
1767142799999,2973.1,2973.1,2962.7,2965.7,4718.3087
1767146399999,2965.7,2984,2961.5,2979.2,5798.674
1767149999999,2979.2,2982.9,2973.3,2980.8,5103.6763
1767153599999,2980.7,2983,2965.1,2970,16917.1232
1767157199999,2970,2974.6,2967.9,2968.4,2447.8787
1767160799999,2968.5,2979.1,2968.5,2974.4,1625.8792
1767164399999,2974.5,2978,2974.1,2974.8,1007.9986
1767167999999,2974.8,2976.7,2970.1,2976,1160.2442
1767171599999,2976,2979.1,2963.1,2968.8,4335.6617
1767175199999,2968.6,2977.5,2968.5,2976.1,3799.7529
1767178799999,2976.1,2982,2974.8,2980.4,1586.3212
1767182399999,2980.3,3002.5,2979.2,3001.2,10685.1431
1767185999999,3001.2,3001.3,2983,2986.2,22335.9551
1767189599999,2986.2,2999,2985.5,2996,7978.7571
1767193199999,2996,3026.2,2980.9,2993.3,52743.3641
1767196799999,2992.9,2993.4,2966.8,2985.3,34969.9548
1767200399999,2985.3,2997.1,2959,2975.8,32494.0817
1767203999999,2975.5,2980,2967.6,2975.6,10308.3272
1767207599999,2975.6,2985.7,2971.8,2974.3,11651.354
1767211199999,2974.3,2982.2,2972,2972,6273.365
1767214799999,2972,2981.4,2963.6,2975.9,19021.0853
1767218399999,2975.9,2985,2975.5,2982.5,13455.2969
1767221999999,2982.5,2985,2975,2978,7450.9031
1767225599999,2977.3,2978,2971,2972,10985.4522
1767229199999,2971.9,2984,2971.9,2980.8,5921.473
1767232799999,2980.7,2989.5,2979.7,2984.6,13677.4772
1767236399999,2984.7,2988.3,2981.2,2982.9,5630.7862
1767239999999,2982.9,2986.9,2980.3,2980.7,3289.6431
1767243599999,2980.8,2981.7,2974.3,2976.2,3493.6139
1767247199999,2976.3,2984.6,2976.3,2982.9,3141.9541
1767250799999,2982.9,2982.9,2977.2,2977.2,1855.9787
1767254399999,2977.2,2982.4,2977.2,2979.3,1719.3656
1767257999999,2979.4,2984,2978.7,2983.5,1113.8682
1767261599999,2983.5,2988.1,2982.9,2984.3,2493.0828
1767265199999,2984.4,2986.7,2982.3,2985.4,1842.554
1767268799999,2985.5,2993,2985.5,2990,2466.3321
1767272399999,2989.9,2990.7,2983.9,2987.9,4188.9611
1767275999999,2987.8,2991.1,2983,2983.9,4855.2614
1767279599999,2983.9,2986.8,2978.2,2985.3,12165.7462
1767283199999,2985.4,2996,2981.1,2990.3,9753.0005
1767286799999,2990.2,2991.2,2981,2982.6,8511.6305
1767290399999,2982.7,3006.7,2981.7,2990.3,29671.5737
1767293999999,2990.4,2992.5,2985.2,2989.7,3261.0923
1767297599999,2989.8,2997.2,2986.9,2995,3370.0828
1767301199999,2995,2996,2986.6,2988.4,14509.6806
1767304799999,2988.4,2992.8,2987,2988.8,6029.6723
1767308399999,2988.8,2999.9,2986.6,2998.9,20606.9162
1767311999999,2999.1,3009.3,2991.5,3002.9,22387.1581
1767315599999,3003,3007.5,2995.1,3005,25462.896
1767319199999,3005,3007.6,2996.8,3002.1,7519.7628
1767322799999,3002.1,3002.3,2991.7,3001.2,7620.7468
1767326399999,3001.2,3032.5,2999,3021.5,26751.6472
1767329999999,3021.6,3023.5,3008.7,3010.6,10397.9642
1767333599999,3010.6,3017.5,3007.5,3015.6,8181.5603
1767337199999,3015.5,3037.9,3012.9,3025.4,12983.7664
1767340799999,3025.9,3031,3015.6,3016.6,6989.1712
1767344399999,3016.6,3032.9,3014.6,3031.1,12476.1489
1767347999999,3031,3053,3028.9,3046.7,23083.0113
1767351599999,3046.7,3067.7,3044.6,3055.6,47213.4411
1767355199999,3055.6,3056.3,3039.4,3046.8,41004.2193
1767358799999,3046.8,3056.8,3042.3,3048,17591.3123
1767362399999,3047.9,3057.2,3045.9,3049.4,5189.5806
1767365999999,3049.2,3109.1,3019.4,3080.6,106940.6855
1767369599999,3080.6,3095.7,3053.6,3085.3,72578.8119
1767373199999,3084.6,3144.9,3078.1,3130.4,78969.7085
1767376799999,3130.3,3148.2,3108.6,3120.8,23902.6477
1767380399999,3121.3,3130.7,3094.7,3108.7,23985.8169
1767383999999,3108.7,3126.3,3106,3121.9,23572.6142
