T,o,h,l,c,v
1785023399999,1874.7,1874.7,1874.6,1874.7,8.1937
1785023459999,1874.7,1874.7,1874.2,1874.3,4.1993
1785023519999,1874.3,1874.3,1874.2,1874.3,0.3399
1785023579999,1874.3,1874.3,1874.2,1874.3,2.1596
1785023639999,1874.3,1874.3,1873.7,1873.8,126.5247
1785023699999,1873.8,1873.8,1873.5,1873.6,60.7437
1785023759999,1873.6,1873.6,1873.5,1873.6,16.1864
1785023819999,1873.6,1873.6,1873.5,1873.6,17.3373
1785023879999,1873.6,1873.9,1873.5,1873.9,21.9345
1785023939999,1873.9,1874.3,1873.9,1874.3,2.6399
1785023999999,1874.3,1874.3,1874.2,1874.3,8.8316
1785024059999,1874.3,1874.3,1874.2,1874.3,7.2507
1785024119999,1874.3,1874.3,1874,1874.1,112.1731
1785024179999,1874,1874.2,1873.5,1874.2,92.8207
1785024239999,1874.2,1874.7,1874.2,1874.6,60.8891
1785024299999,1874.7,1874.8,1874.7,1874.8,12.3228
1785024359999,1874.8,1875,1874.7,1875,17.6921
1785024419999,1874.9,1876,1874.9,1875.9,345.2702
1785024479999,1875.9,1877,1875.8,1876.7,1708.8879
1785024539999,1876.7,1877.1,1876.6,1877,422.9408
1785024599999,1877,1877,1876.5,1876.5,246.5191
1785024659999,1876.6,1876.6,1875.1,1875.5,17.0718
1785024719999,1875.5,1876.7,1875.5,1876.7,252.0066
1785024779999,1876.7,1876.8,1876.6,1876.8,54.909
1785024839999,1876.8,1877.2,1876.6,1876.6,74.3474
1785024899999,1876.6,1876.8,1876.6,1876.7,33.6296
1785024959999,1876.8,1876.8,1876.6,1876.7,18.246
1785025019999,1876.7,1876.7,1876.6,1876.7,15.1668
1785025079999,1876.7,1876.7,1876.5,1876.6,16.0135
1785025139999,1876.6,1876.9,1876.5,1876.8,35.7682
1785025199999,1876.9,1877.3,1876.6,1876.7,49.3406
1785025259999,1876.7,1877.6,1876.5,1877.6,68.855
1785025319999,1877.6,1878,1877.4,1878,47.9033
1785025379999,1878,1878.3,1877.8,1877.9,268.5654
1785025439999,1877.9,1878.3,1877.8,1878.1,30.0221
1785025499999,1877.9,1878.5,1877.8,1878.5,35.5868
1785025559999,1878.5,1878.6,1878.1,1878.2,341.0859
1785025619999,1878.2,1878.2,1878.1,1878.1,53.4706
1785025679999,1878.2,1880,1878.1,1879.8,403.1513
1785025739999,1879.8,1879.8,1878.6,1878.7,174.1441
1785025799999,1878.7,1878.9,1878.6,1878.6,4.7897
1785025859999,1878.7,1878.7,1877.3,1877.6,41.4225
1785025919999,1877.6,1877.9,1877.5,1877.9,13.0749
1785025979999,1877.9,1878.6,1877.9,1878,10.3764
1785026039999,1878.1,1878.3,1877.4,1877.4,53.393
1785026099999,1877.3,1877.4,1876.7,1876.8,22.4307
1785026159999,1876.8,1876.8,1876.6,1876.8,8.2353
1785026219999,1876.8,1876.8,1876.7,1876.8,4.9106
1785026279999,1876.8,1876.8,1876.7,1876.8,6.6002
1785026339999,1876.8,1877.1,1876.7,1877.1,46.2646
1785026399999,1877.1,1877.1,1876.1,1876.2,42.8659
1785026459999,1876.2,1876.2,1875.9,1876,6.4434
1785026519999,1876,1876,1875.9,1876,7.6464
1785026579999,1876,1876.5,1875.9,1876.5,4.8903
1785026639999,1876.5,1876.5,1876.4,1876.5,67.1492
1785026699999,1876.5,1876.5,1876.4,1876.5,6.238
1785026759999,1876.5,1876.5,1876,1876.1,19.012
